id,name,followers,popularity,genres,main_genre,n_genres
5a7d4sfe5zy1rrf90zlueo,crime mob,491307,51,"['crunk', 'southern hip hop']",hip-hop,2
32rakeuhkfuvqgghbipd2u,fgfc820,23206,28,"['ebm', 'industrial', 'industrial metal', 'darkwave']",electronic,4
5mn8nrcofcmoxdec5umwga,the wunder years,46,0,['skate punk'],rock,1
1xfdfh1utbiyvgwwq77wkq,hyper,2,0,[],electronic,0
4qm5qchicznaltx885cnzc,slayyyter,473511,61,['hyperpop'],electronic,1
7afquugfpgvjajz7w0mx9k,second sun,44,23,[],electronic,0
3hoydetqyghp2meyw90qhv,the violet burning,5572,12,"['christian alternative rock', 'christian rock', 'chinese rock', 'ccm']",rock,4
0yqupkw0gmdwxhpsxcpysy,gbh,139702,37,"['punk', 'hardcore punk', 'skate punk', 'hardcore']",rock,4
7e1qyhwgdvenejg7sbb5w0,josh rubin,6536,36,"['melodic bass', 'drum and bass', 'future bass']",electronic,3
48nho1cutbpx4elhchsxx1,sidewalks and skeletons,474550,64,"['witch house', 'darkwave']",electronic,2
3uwlqugosnui9t0hkgatgn,fatal smile,3538,5,"['glam metal', 'hard rock']",rock,2
6cjsmkvvmvye6tcao1m9is,zhané,382384,54,['new jack swing'],r&b,1
3qcv2zd1azfdimgs3dfu89,glis,3330,7,"['ebm', 'industrial', 'synthpop', 'darkwave']",electronic,4
5dd5gzd4elmqty9nlemvkj,tessa violet,694074,48,[],electronic,0
1ejb0qxc2xrtk7hphbeohy,donatachi,29862,28,"['hyperpop', 'bubblegum pop']",electronic,2
3dajvnysjjylwpcsexeffm,pixel terror,63554,41,['dubstep'],electronic,1
7cddnou6nkew7upciljf9n,greet death,39039,39,"['shoegaze', 'slowcore']",rock,2
7nlgdxwtrutbagzka9aava,tom ferry,13649,39,['deep house'],electronic,1
4bbcd1iabv9tlfcz6fgdys,driia,5185,37,"['uk garage', 'bassline']",electronic,2
3ahq6rutf72jf0ul8gb6g2,the jets,345570,52,['rocksteady'],folk,1
4ewmajurkslyrmkkz4mtru,naike,614,32,"['uk garage', 'rally house']",electronic,2
4urypuqzrnry5t8tav3xrd,nero,793669,56,"['dubstep', 'dub']",electronic,2
0zudebctajkzgnjtewqini,rotersand,38657,35,"['ebm', 'industrial', 'synthpop', 'darkwave', 'industrial metal']",electronic,5
2nwnpxzxwf9mfaik9pqnxi,hutcher,11060,39,"['uk garage', 'rally house']",electronic,2
4saejkunxptcvgkuoxwvv6,litening,707,18,[],electronic,0
6jy8dn56yezwpfujdpa0qb,jacuzzi boys,54379,37,"['garage rock', 'surf rock']",rock,2
540egazqjmy2lm7npclrq2,goo munday,10613,38,"['witch house', 'electroclash', 'darkwave']",electronic,3
7d08qc18sep2h3ycrqkdew,funk d'void,3,0,[],electronic,0
7bqeiderpmniuxcre0dv2n,zardonic,82644,47,"['deathstep', 'industrial metal', 'drum and bass', 'industrial']",rock,4
1q776wzj2mrtxrnu3ih6nk,archive,311277,50,['trip hop'],electronic,1
5fkms3kgg0cjirm250nftj,coco  clair clair,402596,56,[],electronic,0
7u12auhj5aajigzaze0us8,metalocalypse dethklok,475566,53,"['melodic death metal', 'metal', 'death metal']",rock,3
3bpsw3qktebzxnfdfuqmpg,sarcófago,137074,35,"['black metal', 'thrash metal', 'death metal', 'metal', 'speed metal']",rock,5
7lmxvanva2viqejleszufd,triumphator,6026,6,['black metal'],rock,1
4kkx2dc7hbe6fozhxyzpw8,poor old lu,5814,16,"['christian alternative rock', 'christian rock', 'ccm', 'grunge']",rock,4
4kvh8qhmknwomihvq22vdv,regenerator,870,9,"['ebm', 'industrial', 'industrial metal']",electronic,3
7mo0jgoath8fvhvgcdzsxh,kylesa,101183,33,"['sludge metal', 'stoner metal', 'stoner rock', 'doom metal', 'drone metal']",rock,5
1rrrmpsvstg4un6uazrygq,nunslaughter,42787,25,"['death metal', 'black metal', 'grindcore', 'thrash metal', 'speed metal']",rock,5
1hg3mzvnewebpe41j5sdjv,too much joy,3638,13,"['power pop', 'jangle pop']",pop,2
3lz3ven23fw0hielryezud,exo-cbx,2476311,48,['k-pop'],pop,1
5kxbczslck59eyr8gdshd6,army navy,3158,17,['power pop'],pop,1
5kv2pc0bicyfh3y9hxgnks,seeds kids worship,48217,41,"[""children's music"", 'worship']",folk,2
70akqfu43ou9hfxjztdt7a,wicca phase springs eternal,157530,55,"['emo rap', 'cloud rap']",hip-hop,2
4ukkkgkjnwx8ktuvea66k1,warbringer,125045,37,"['thrash metal', 'speed metal', 'groove metal', 'metal']",rock,4
6byc2lukpohk13kvqa5lkb,paul maxwell,1839,37,['hyperpop'],electronic,1
